csv_line,smiles,best_name,action,issues
366,O=[N+]([O-])c1ccc(C(=C(c2ccc([N+](=O)[O-])cc2)c2ccc([N+](=O)[O-])cc2)c2ccc([N+](=O)[O-])cc2)cc1,"1,1,2,2-Tetrakis(4-nitrophenyl)ethene",review,type 存疑 other vs RDKit=none
367,CC(=O)O[C@@H]1C(=O)OC(=O)[C@H]1OC(C)=O,(+)-diacetyl-L-tartaric anhydride,review,type 存疑 other vs RDKit=none
370,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1,hexachlorocyclotriphosphazene,review,type 存疑 other vs RDKit=none
371,N#Cc1ccc(C(=O)Cl)cc1,4-cyanobenzoyl chloride,review,type 存疑 other vs RDKit=none
372,Cc1cc(C#N)c(O)nc1C,"3-cyano-4,6-dimethyl-2-hydroxypyridine",review,type 存疑 other vs RDKit=none
373,OC1=C(O)c2cc3c(cc2=C1)C(O)=C(O)C=3O,"2,3,6,7,10,11-hexahydroxytriphenylene",review,type 存疑 other vs RDKit=none
374,OBc1ccc(B(O)O)cc1,"1,4-phenylenebis(boronic acid)",review,type 存疑 other vs RDKit=none
377,c1ccc(-c2ccccn2)nc1,"2,2'-bipyridine",review,type 存疑 other vs RDKit=none
378,c1cnc(-c2ccncn2)nc1,"2,2'-bipyrimidine",review,type 存疑 other vs RDKit=none
379,c1cnc(-c2cnccn2)nc1,"2,2'-bipyrazine",review,type 存疑 other vs RDKit=none
381,O=C(Cl)c1ccc(C(=O)Cl)cc1,terephthaloyl chloride,review,type 存疑 other vs RDKit=none
385,OB(O)C1=Cc2c(sc3c4c(sc23)=C(B(O)O)C=C4)=C1,"benzo[1,2-b:4,5-b']dithiophene-2,6-diyldiboronic acid",review,type 存疑 other vs RDKit=none
386,OC1=C(O)c2cc3c(cc2=C1O)C(O)=C(O)C=3O,"2,3,6,7,10,11-hexahydroxytriphenylene",review,type 存疑 other vs RDKit=none
389,N#Cc1cc(F)c(F)c(F)c1F,"2,3,5,6-tetrafluorobenzonitrile",review,type 存疑 other vs RDKit=none
390,N#Cc1cc(F)c(I)c(F)c1F,"2,3,5,6-tetrafluoro-4-iodobenzonitrile",review,type 存疑 other vs RDKit=none
391,C[C@@H]1CNCCN1,S-(+)-2-methylpiperazine,fixed,"计数修正 n_aldehyde 0→0, n_amine 0→4; is_amine False→True"
395,NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NN,"perfluorohexane-1,6-dicarbohydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
396,O=Cc1cc2c(cc1C=O)Sc1ccccc1N2,"phenothiazine-3,7-dicarbaldehyde",fixed,"计数修正 n_aldehyde 2→2, n_amine 0→2; is_amine False→True; type 存疑 aldehyde vs RDKit=both"
397,Brc1c2ccccc2c(Br)c2ccccc12,"9,10-dibromoanthracene",review,type 存疑 other vs RDKit=none
399,N#Cc1ccc(O[PH]2=N[PH](Oc3ccc(C#N)cc3)=NP(Oc3ccc(C#N)cc3)(Oc3ccc(C#N)cc3)=N2)cc1,hexakis(4-cyanophenoxy)cyclotriphosphazene,review,type 存疑 other vs RDKit=none
405,O=C(O)c1ccc(C(=O)O)cc1,terephthalic acid,review,type 存疑 other vs RDKit=none
408,C1CNCCN1,piperazine,fixed,"计数修正 n_aldehyde 0→0, n_amine 0→4; is_amine False→True"
410,NNC(=O)C(=O)NN,oxalyl dihydrazide,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
416,O=C(O)c1cccc(-c2cccc(C(=O)O)n2)n1,"2,2'-bipyridine-6,6'-dicarboxylic acid",review,type 存疑 other vs RDKit=none
417,OB(O)c1ccc(-c2ccc(B(O)O)cc2)cc1,"4,4'-biphenyldiboronic acid",review,type 存疑 other vs RDKit=none
421,Fc1ccc(F)cc1,difluorobenzene,review,type 存疑 other vs RDKit=none
422,Fc1ccc2ccccc2c1F,difluoronaphthalene,review,type 存疑 other vs RDKit=none
423,Fc1c2ccccc2c(F)c2ccccc12,difluoroanthracene,review,type 存疑 other vs RDKit=none
425,O=c1oc(=O)c2ccc3c(=O)oc(=O)c3c2c1=O,"naphthalene-1,4,5,8-tetracarboxylic dianhydride",review,type 存疑 other vs RDKit=none
426,c1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,W-NH2,review,type 存疑 amine vs RDKit=none
427,C#Cc1ccccc1,phenylacetylene,review,type 存疑 other vs RDKit=none
428,C#Cc1ccc(C(=O)OC)cc1,methyl 4-ethynylbenzoate,review,type 存疑 other vs RDKit=none
431,O=C1c2cc(Br)ccc2-c2cc(Br)ccc21,"3,6-dibromophenanthrene-9,10-dione",review,type 存疑 other vs RDKit=none
433,N#CCc1cc(CC#N)cc(CC#N)c1,"2,2',2''-(benzene-1,3,5-triyl)triacetonitrile",review,type 存疑 other vs RDKit=none
435,CCOc1cc(C(=O)NN)c(OCC)cc1C(=O)NN,"2,5-diethoxyterephthalohydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
436,C#Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1[C](c1cc(Cl)c(Cl)c(Cl)c1Cl)c1cc(Cl)c(Cl)c(Cl)c1Cl,PTMacetylenic,review,type 存疑 other vs RDKit=none
437,N=C(N)N(N)N,triaminoguanidine,fixed,"计数修正 n_aldehyde 0→0, n_amine 3→1"
439,Cc1nc(C)c(C#N)c(C)c1C#N,"2,4,6-trimethylpyridine-3,5-dicarbonitrile",review,type 存疑 other vs RDKit=none
442,O=C1OC(=O)c2c1ccc1c(=O)oc(=O)oc(=O)c21,"1,4,5,8-Naphthalenetetracarboxylic dianhydride",review,type 存疑 other vs RDKit=none
445,c1cc2ccc3cccc4ccc5ccc6ccc(c1)c1c2c3c4c5c61,decacyclene,review,type 存疑 other vs RDKit=none
446,O=Nc1ccc(N=O)cc1,"1,4-dinitrosobenzene",review,type 存疑 other vs RDKit=none
448,Nc1ccc(C2=NC3=NC=NC3=N2)cc1,"4,4',4''-(1,3,5-triazine-2,4,6-triyl)trianiline",fixed,is_amine False→True
451,Nc1ccc(P(=O)(O)O)cc1,4-aminophenylphosphonic acid,fixed,is_amine False→True
452,Oc1cc(O)c2ccc3cc(O)c(O)cc3c2c1,"2,3,6,7-tetrahydroxyanthracene",review,type 存疑 other vs RDKit=none
456,OB(O)c1cc(B(O)O)cc(B(O)O)c1,"1,3,5-benzenetriboronic acid",review,type 存疑 other vs RDKit=none
461,BrCc1cc(CBr)cc(CBr)c1,"1,3,5-tris(bromomethyl)benzene",review,type 存疑 other vs RDKit=none
463,NCCNCCNCCN,triethylenetetramine,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→6"
468,O=P(O)(O)c1ccccc1,phenylphosphonic acid,review,type 存疑 other vs RDKit=none
470,O=c1[nH]c2ccc3c(=O)[nH]c(=O)c4ccc5c6ccc7c8ccc9c(=O)[nH]c3c4c5c6c7c8c9ccc12,"perylene-3,4,9,10-tetracarboxylic diimide",review,type 存疑 other vs RDKit=none
473,NNC(=O)C(O)C(O)C(=O)NN,L-tartaric acid dihydrazide,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
475,Nc1ccc2c(c1)C=c1ccc(cc1)=C2,M-PhDBC-NH2,fixed,is_amine False→True
481,OB(O)c1ccc2cc3cccc(B(O)O)c3cc2c1,pyrene diboronic acid,review,type 存疑 other vs RDKit=none
485,Nc1ccc(C=O)c(N)c1,"2,5-diaminobenzaldehyde",fixed,is_aldehyde False→True; type 存疑 aldehyde-amine vs RDKit=both
487,CN(C)C=CC(=O)c1cccc(C(=O)C=CN(C)C)c1,"1,1'-(1,3-Phenylene)bis[3-(dimethylamino)-2-propen-1-one]",review,type 存疑 other vs RDKit=none
488,CN(C)C=CC(=O)c1cccc(C=O)c1,1-(3-Formylphenyl)-3-(dimethylamino)-2-propen-1-one,fixed,is_aldehyde False→True; type 存疑 aldehyde-amine vs RDKit=aldehyde
489,O=Cc1cc2sc3sc4sc3c2c14,"benzo[1,2-b:3,4-b':5,6-b'']trithiophene-2,5,8-tricarbaldehyde",fixed,is_aldehyde False→True
490,NNC(=O)c1cc(C(N)=O)cc(C(=O)NN)c1,"benzene-1,3,5-tricarbohydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 3→0; type 存疑 other vs RDKit=none"
491,Brc1ccc2nsnc2c1Br,"4,7-dibromobenzo[c][1,2,5]thiadiazole",review,type 存疑 other vs RDKit=none
494,N#Cc1ccc(F)cc1,4-fluorobenzonitrile,review,type 存疑 other vs RDKit=none
495,OB(O)C1=CC2=C3C1=CC=C1C=C(C=C2)C13B(O)O,"pyrene-2,7-diboronic acid",review,type 存疑 other vs RDKit=none
496,COc1cc(C=O)ccc1O,4-hydroxy-3-methoxybenzaldehyde,fixed,is_aldehyde False→True
498,N/N=C/c1ccc(/C=N/N)cc1,"1,4-bis(Z)-hydrazonomethyl benzene",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
504,c1ccc(-c2cccnc2)nc1,"2,2'-bipyridine",review,type 存疑 other vs RDKit=none
505,N=C(N)NN(N)N,triaminoguanidine,fixed,"计数修正 n_aldehyde 0→0, n_amine 3→1"
506,OB(O)c1ccc(Br)cc1,4-bromobenzeneboronic acid,review,type 存疑 other vs RDKit=none
507,Nc1ccc(N=Nc2ccccc2)cc1,4-aminoazobenzene,fixed,is_amine False→True
515,N#Cc1ccc(C(c2ccc(C#N)cc2)(c2ccc(C#N)cc2)c2ccc(C#N)cc2)cc1,tetrakis(4-cyanophenyl)methane,review,type 存疑 other vs RDKit=none
516,CC1(C)OB(c2ccc([N+](=O)[O-])cc2)OC1(C)C,"4,4,5,5-tetramethyl-2-(4-nitrophenyl)-1,3,2-dioxaborolane",review,type 存疑 other vs RDKit=none
518,OBc1ccc(-c2cc(-c3ccc(B(O)O)cc3)cc(-c3ccc(B(O)O)cc3)c2)cc1,"1,3,5-tris[(4-phenylboronic acid)]benzene",review,type 存疑 other vs RDKit=none
519,OBc1ccc(-c2ccc(B(O)O)cc2)cc1,"4,4'-biphenyldiboronic acid",review,type 存疑 other vs RDKit=none
520,OBc1cc(B(O)O)cc(B(O)O)c1,"1,3,5-benzenetriboronic acid",review,type 存疑 other vs RDKit=none
521,COc1ccc(N)cc1,4-methoxyaniline,fixed,is_amine False→True
522,Cc1cc(C)cc(N)c1,"3,5-dimethylaniline",fixed,is_amine False→True
524,Brc1cc(Br)c(Br)c(Br)c1,"1,2,4,5-tetrabromobenzene",review,type 存疑 other vs RDKit=none
525,Brc1ccc(C(=C(c2ccc(Br)cc2)c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,tetrakis(4-bromophenyl)ethylene,review,type 存疑 other vs RDKit=none
526,Brc1ccc(C(=C(c2ccccc2)c2ccc(Br)cc2)c2ccccc2)cc1,"1,2-bis(4-bromophenyl)-1,2-diphenylethylene",review,type 存疑 other vs RDKit=none
528,CC(C)(C)OC(=O)Nc1ccccc1N,"N-(tert-butyloxycarbonyl)-1,2-diaminobenzene",fixed,is_amine False→True
529,OB(O)c1ccc(C=C(c2ccc(B(O)O)cc2)c2ccc(B(O)O)cc2)cc1,Tetrakis(4-boronophenyl)ethylene,review,type 存疑 other vs RDKit=none
530,Oc1cc(O)c(O)cc1O,"1,2,4,5-Tetrahydroxybenzene",review,type 存疑 other vs RDKit=none
531,Oc1cc2c(O)c3ccc4c(O)c(O)ccc4c3cc2c(O)c1O,"2,3,6,7,10,11-hexahydroxytriphenylene",review,type 存疑 other vs RDKit=none
536,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,pyrene,review,type 存疑 other vs RDKit=none
537,c1cncc(-c2ccncc2)c1,"4,4'-bipyridine",review,type 存疑 other vs RDKit=none
538,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,glutathione,fixed,is_amine False→True
540,Nc1ccc(-c2ccc3nc4cc5nc(ccc5c3c4)cc3nc4ccc3=c3ccc(c2)nc3c4)cc1,"5,10,15,20-tetrakis(p-aminophenyl)porphyrin",fixed,is_amine False→True
542,Brc1ccc(N(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,tribromo dimethylmethylene-bridged triphenylamine,review,type 存疑 other vs RDKit=none
543,Brc1cc(Br)cc(Br)c1,"1,3,5-tribromobenzene",review,type 存疑 other vs RDKit=none
544,NNC(=O)c1cc(O)c(C(=O)NN)c(O)c1,"2,5-dihydroxyterephthalohydrazide",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; type 存疑 other vs RDKit=none"
545,Cc1nnc(C)s1,"2,5-dimethyl-1,3,4-thiadiazole",review,type 存疑 other vs RDKit=none
546,Brc1cc(Br)c2[nH]c3cc(-c4ccc5c(c4)[nH]c4c(Br)c(Br)ccc45)ccc3c2c1,"3,3′,6,6′-tetrabromo-9,9′-bicarbazole",review,type 存疑 other vs RDKit=none
551,Brc1cc(Br)c(Br)cc1Br,"1,2,4,5-tetrabromobenzene",review,type 存疑 other vs RDKit=none
562,O=C(O)c1cc(C(=O)O)c(C(=O)O)c(C(=O)O)c1,pyromellitic acid,review,type 存疑 other vs RDKit=none
564,O=c1c(=O)c2c(=O)c(=O)c3c2c2ccc4c5ccc1c1c5c2c3c41,"pyrene-4,5,9,10-tetraone",review,type 存疑 other vs RDKit=none
565,O=Cc1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,"pyrene-2,7-dicarbaldehyde",fixed,is_aldehyde False→True
566,O=Cc1cc2ccc3cccc4ccc(c1)c2c34,"pyrene-2,7-dicarboxaldehyde",fixed,is_aldehyde False→True
567,Nc1ccccc1O,2-aminophenol,fixed,is_amine False→True
568,O=Cc1ccccc1O,2-hydroxybenzaldehyde,fixed,is_aldehyde False→True
570,Clc1nc2cc(Br)c(Br)cc2[nH]1,"4,7-dibromo-2-chloro-1H-benzo[d]imidazole",review,type 存疑 other vs RDKit=none
571,C=Cc1ccc(N)cc1,4-vinylaniline,fixed,is_amine False→True
572,O=C=Nc1ccc(N=C=O)cc1,"1,4-phenylene diisocyanate",review,type 存疑 other vs RDKit=none
573,OC1=C(O)c2cc3cc(O)c1cc3c(O)c2O,"2,3,6,7,10,11-hexahydroxytriphenylene",review,type 存疑 other vs RDKit=none
574,N#Cc1c(F)c(F)c(C#N)c(F)c1F,tetrafluoroterephthalonitrile,review,type 存疑 other vs RDKit=none
575,O=C1c2ccc(F)c(F)c2C(=O)c2ccc(F)c(F)c21,"2,3,6,7-tetrafluoroanthraquinone",review,type 存疑 other vs RDKit=none
580,CCCCCCCCCCCC(=O)c1c(O)cc(O)cc1O,"2,5-二戊氧基-1,4-对苯二甲醛",review,type 存疑 other vs RDKit=none
584,O=C1Cc2cc3c(cc2O1)CC(=O)O3,"苯并[1,2-b:4,5-二呋喃]-2,6(3H,7H)-二酮",review,type 存疑 other vs RDKit=none
598,O=Cc1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,"1,1,2-三苯基-2-(4-甲酰基苯)乙烯",fixed,is_aldehyde False→True
612,O=Cc1ncc[nH]1,2-咪唑甲醛,fixed,is_aldehyde False→True
615,N#Cc1ccc(O)c(C=O)c1,3-甲酰基-4-羟基苯腈,fixed,is_aldehyde False→True
616,COc1cc(I)cc(C=O)c1O,5-碘-邻香兰素,fixed,is_aldehyde False→True
617,O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1,"5-(4-(二苯氨基)苯基)-2,2'-联噻吩-5-甲醛",fixed,is_aldehyde False→True
620,Nc1ccc(-c2cc(-c3ccc(C=O)cc3)c3ccc4c(-c5ccc(N)cc5)cc(-c5ccc(C=O)cc5)c5ccc2c3c45)cc1,"4,4'-(3,8-二溴芘-1,6-二基)二苯甲醛",review,type 存疑 aldehyde-amine vs RDKit=both
621,C#Cc1ccc(C=O)cc1,4-乙炔基苯甲醛,fixed,is_aldehyde False→True
626,O=Cc1cc(S(=O)(=O)[O-])ccc1O.[Na+],3-醛基-4-羟基苯磺酸钠（Na盐形式）,fixed,is_aldehyde False→True
631,COc1ccc(C(=C(c2ccccc2)c2ccc(C=O)cc2)c2ccc(OC)cc2)cc1,"4,4'-双[4-(4-甲氧基苯基)-1-苯乙基]苯甲醛",fixed,is_aldehyde False→True
634,CC(C)(C)OC(=O)c1ccc(Br)c(C=O)c1,4-溴-3-甲酰基苯甲酸叔丁酯,fixed,is_aldehyde False→True
636,CN1c2ccccc2Sc2cc(C=O)ccc21,10-甲基-10H-吩噻嗪-3-甲醛,fixed,is_aldehyde False→True
637,COC(=O)c1cc(C=O)cc(C(=O)OC)c1,5-甲酰基间苯二甲酸二甲酯,fixed,is_aldehyde False→True
639,O=Cc1ccc(-c2cn[nH]c2)cc1,4-(1H-吡唑-4-基)苯甲醛,fixed,is_aldehyde False→True
640,CCOC(=O)c1cc(C=O)cc(C(=O)OCC)c1,5-甲酰基间苯二甲酸二乙酯,fixed,is_aldehyde False→True
642,O=Cc1ccc(-c2ccc(Br)s2)s1,"5-溴-2,2'-联噻吩-5'-甲醛",fixed,is_aldehyde False→True
644,C#Cc1ccc(C=CC=O)cc1,3-(4-乙炔基苯基)丙烯醛,fixed,is_aldehyde False→True
658,O=Cc1cc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)ccc1O,"2-羟基-5-(1,2,2-三苯基乙烯基)苯甲醛",fixed,is_aldehyde False→True
665,Cc1cc(CO)ccc1C=O,4-(羟甲基)-2-甲基苯甲醛,fixed,is_aldehyde False→True
667,COc1ccc(OC)c(C=O)c1,"2,5-二甲氧基苯甲醛",fixed,is_aldehyde False→True
668,Cc1ccc(C)c(C=O)c1,"2,5-二甲基苯甲醛",fixed,is_aldehyde False→True
673,O=Cc1ccc(Br)c2nsnc12,"7-溴-4-醛基苯并[C][1,2,5]噻二唑",fixed,is_aldehyde False→True
677,O=Cc1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,"4-(2,2':6',2''-三联吡啶)-4'-二苯甲醛",fixed,is_aldehyde False→True
679,O=COc1cc(OC=O)cc(OC=O)c1,"1,3,5-苯三甲醛",fixed,"计数修正 n_aldehyde 0→3, n_amine 0→0; is_aldehyde False→True; type 存疑 other vs RDKit=aldehyde"
681,CC1(C)OB(c2ccc(C=O)c(O)c2)OC1(C)C,"2-(4,4,5,5-四甲基-1,3,2-二氧杂硼烷-2-基)苯甲醛",fixed,is_aldehyde False→True
682,CC1(C)COC(c2ccc(C=O)cc2)OC1,"4-(5,5-二甲基-1,3-二氧六环-2-基)苯甲醛",fixed,is_aldehyde False→True
684,O=Cc1ccc(OCC2CC2)cc1,4-(环丙基甲氧基)苯甲醛,fixed,is_aldehyde False→True
686,O=Cc1ccc(-c2ccc(N(c3ccc(Br)cc3)c3ccc(Br)cc3)cc2)s1,5-(4-(双(4-溴苯基)(苯基)甲基)噻吩-2-甲醛,fixed,is_aldehyde False→True
692,O=CCc1ccc(Br)cc1,4-溴苯乙醛,fixed,is_aldehyde False→True
695,CC(C)(C)c1cc(CCl)cc(C=O)c1O,3-(叔丁基)-5-(氯甲基)-2-羟基苯甲醛,fixed,is_aldehyde False→True
698,O=Cc1nc2c(s1)CCC2,"5,6-二氢-4H-环戊[d]噻唑-2-甲醛",fixed,is_aldehyde False→True
721,O=Cc1cc(-c2ccccn2)nc(-c2ccccn2)c1,"2,2':6',2''-三联吡啶-4-甲醛",fixed,is_aldehyde False→True
735,O=Cc1cccc(-c2ccc3ccccc3n2)c1,"3,3'-(蒽-9,10-二基)二苯甲醛",fixed,is_aldehyde False→True
737,O=Cc1ccc2c(c1)OCCOCCOCCOCCO2,"2,3,5,6,8,9,11,12-octahydrobenzo[b][1,4,7,10,13]pentaoxacyclopentadecine-15-carbaldehyde",fixed,is_aldehyde False→True
743,O=Cc1ccc(N(c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c2ccc(N3c4ccccc4Sc4ccccc43)cc2)cc1,"4-(N,N-双(4-(苯并噻唑基)苯基)氨基)苯甲醛",fixed,is_aldehyde False→True
744,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(N(c2ccc(C=O)cc2)c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc2)cc1,"4-(双(4-(3,6-二叔丁基-9H-咔唑-9-基)苯基)氨基)苯甲醛",fixed,is_aldehyde False→True
745,O=Cc1ccc(N(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,4-(双(4-(9H-咔唑-9-基)苯基)氨基)苯甲醛,fixed,is_aldehyde False→True
747,O=Cc1ccc(N2c3ccccc3Oc3ccccc32)cc1,4-(10H-吩噻嗪-10-基)苯甲醛,fixed,is_aldehyde False→True
748,CCn1c2ccccc2c2ccc(C=O)cc21,9-乙基-9H-咔唑-2-甲醛,fixed,is_aldehyde False→True
749,CCCCCCCCn1c2ccccc2c2ccc(C=O)cc21,9-辛基-9H-咔唑-2-甲醛,fixed,is_aldehyde False→True
750,Nc1ccc(-c2cc(-c3ccc(C=O)cc3)c(-c3ccc(N)cc3)cc2-c2ccc(C=O)cc2)cc1,"2',5'-双(4-氨基苯基)-[1,1':4',1''-三联苯]-4,4''-二甲醛",review,type 存疑 aldehyde-amine vs RDKit=both
751,Nc1ccc(-c2cc(-c3ccc(N)cc3)c(-c3ccc(C=O)cc3)cc2-c2ccc(C=O)cc2)cc1,"4',6'-双(4-氨基苯基)-[1,1':3',1''-三联苯]-4,4''-二甲醛",review,type 存疑 aldehyde-amine vs RDKit=both
752,Nc1ccc(-c2cc(-c3ccc(C=O)cc3)c(-c3ccc(C=O)cc3)cc2-c2ccc(N)cc2)cc1,"4',5'-双(4-氨基苯基)-[1,1':2',1''-三联苯]-4,4''-二甲醛",review,type 存疑 aldehyde-amine vs RDKit=both
758,O=Cc1[nH]nc2ccc(Br)cc12,5-溴吲哚-3-甲醛,fixed,is_aldehyde False→True
760,O=Cc1ccc(-c2ccc(C(=O)O)cc2)cc1,"4-甲酰基-[1,1'-联苯]-4-羧酸",fixed,is_aldehyde False→True
761,O=Cc1ccc(N(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,4-双(4-溴苯基)氨基苯甲醛,fixed,is_aldehyde False→True
762,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C=O)cc1,"4-(3,6-二叔丁基-9H-咔唑-9-基)苯甲醛",fixed,is_aldehyde False→True
763,CC(C)c1cc(C=O)cc(C(C)C)c1O,"4-羟基-3,5-二异丙基苯甲醛",fixed,is_aldehyde False→True
765,COc1c(O)cc2c3c(ccc(-c4ccccc4)c13)C=CC2=O,"2'-羟基-1,1':3',1''-三联苯-4,4''-二甲醛",review,type 存疑 other vs RDKit=none
769,O=C(c1ccccc1)c1cc(C(=O)c2ccccc2)cc(C(=O)c2ccccc2)c1,"5-(4-甲酰基苯基)-1,1':3',1''-三联苯-3,4'',5-三甲醛",review,type 存疑 other vs RDKit=none
770,O=C(O)c1ccc(C#Cc2ccc(C#Cc3ccc(C(=O)O)cc3)cc2)cc1,"5,5''-(丁-1,3-二炔-1,4-二基)二间苯二甲醛",review,type 存疑 other vs RDKit=none
773,O=Cc1cn2ccccc2n1,"咪唑[1,2-a]吡啶-2-甲醛",fixed,is_aldehyde False→True
777,O=C(O)C=Cc1cn(-c2ccccc2)nc1-c1ccc(-c2ccccc2)cc1,"5-(苯基偶氮基)-[1,1':3',1''-三联苯]-4,4''-二甲醛",review,type 存疑 other vs RDKit=none
786,COc1cc(C=CCO)ccc1OC1OC(CO)C(O)C(O)C1O,"1,2-双[2-(2-羧基乙氧基)乙氧基]苯",review,type 存疑 other vs RDKit=none
791,O=c1c2ccccc2cc(Br)c2ccccc12,9-溴蒽-10-甲醛,review,type 存疑 other vs RDKit=none
808,N=c1nc2n3c(nc(N)nc3n1)NC(N)=N2,蜜勒胺,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→4"
809,Nc1ccc2ccc3cccc4ccc1c2c34,1-氨基芘,fixed,is_amine False→True
810,Nc1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,"1-(4-氨基苯基)-1,2,2-三苯乙烯",fixed,is_amine False→True
818,COc1cc(C(=O)NN)c(OC)cc1C(=O)NN,"2,5-二甲氨基对苯二甲酰肼",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
819,NNC(=O)c1cc(OCc2ccccc2)c(C(=O)NN)cc1OCc1ccccc1,"(2,5-双(苄氧基)-1,4-亚苯基)双(酰肼)",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
820,C#CCOc1cc(C(=O)NN)c(OCC#C)cc1C(=O)NN,"2,5-双(丙-2-炔-1-基氨基)对苯二甲酰肼",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
821,CCSCCCOc1cc(C(=O)NN)c(OCCCSCC)cc1C(=O)NN,"2,5-双(3-(乙硫基)丙氨基)对苯二甲酰肼",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
822,C=CCOc1cc(C(=O)NN)c(OCC=C)cc1C(=O)NN,"2,5-双(烯丙氧基)对苯二甲酰肼",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
838,NC(=O)Nc1ccc(NC(N)=O)cc1,"1,1'-(1,4-亚苯基)二脲",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
840,NNC(=O)c1ccc(-c2c3nc(c(-c4ccc(C(=O)NN)cc4)c4ccc([nH]4)c(-c4ccc(C(=O)NN)cc4)c4nc(c(-c5ccc(C(=O)NN)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,"4,4',4'',4'''-(卟啉-5,10,15,20-四基)四(苯甲酰胺)",fixed,"计数修正 n_aldehyde 0→0, n_amine 4→0; is_amine True→False; type 存疑 amine vs RDKit=none"
842,Cl.NN=C(NN)NN,三氨基胍盐酸盐,fixed,"计数修正 n_aldehyde 0→0, n_amine 3→0; is_amine True→False; type 存疑 amine vs RDKit=none"
849,Nc1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,"4'-(4-氨基苯基)-2,2':6',2''-联三吡啶",fixed,is_amine False→True
859,NNC(=O)c1cc(O)c(C(=O)NN)cc1O,"2,5-二(肼基羰基)苯-1,4-二醇",fixed,"计数修正 n_aldehyde 0→0, n_amine 2→0; is_amine True→False; type 存疑 amine vs RDKit=none"
860,N#Cc1ccc(-c2ccc(N)cc2)cc1,4-氨基-4'-氰基联苯,fixed,is_amine False→True
861,Nc1ccc2c(c1)OCCOCCOCCOCCO2,4'-氨基苯并-15-冠-5-醚,fixed,is_amine False→True
865,CC1(C)COC(c2ccc(N)cc2)OC1,"4-(5,5-二甲基-1,3-二噁烷-2-基)苯胺",fixed,is_amine False→True
869,NNC(=O)c1ccc(N)cc1O,4-氨基水杨酰肼,fixed,"计数修正 n_aldehyde 0→0, n_amine 2→1"
880,Nc1c2ccccc2cc2ccccc12,9-氨基蒽,fixed,is_amine False→True
